Name,Adult,Episode_Run_Time,Genres,First_Air_Date,Last_Air_Date,Networks,Number_of_Episodes,Number_of_Seasons,Status,Popularity
Şarkılar Seni Söyler,false,0.0,"[""Dram""]",2003-09-02,2003-09-16,"[""Show TV""]",3.0,1.0,Ended,6.32
Hürrem Sultan,false,60.0,"[""Dram""]",2003-09-01,2003-10-27,"[""Star TV""]",8.0,1.0,Ended,13.719
Büyümüş de Küçülmüş,false,0.0,"[""Komedi""]",2003-08-11,2003-10-06,"[""Kanal D""]",9.0,1.0,Ended,5.551
Serseri,false,80.0,"[""Aile"", ""Dram""]",2003-07-14,2003-07-14,"[""Kanal D""]",2.0,2.0,Ended,1.774
Pilli Bebek,false,0.0,String[],2003-05-02,2003-05-16,String[],3.0,1.0,Ended,0.655
Estağfurullah Yokuşu,false,50.0,"[""Aile"", ""Dram""]",2003-05-01,2003-07-10,"[""Kanal D""]",11.0,1.0,Ended,5.261
Sihirli Annem,false,60.0,"[""Çocuklar"", ""Bilim Kurgu & Fantazi"", ""Aile"", ""Komedi""]",2003-02-27,2005-09-24,"[""Star TV"", ""Kanal D""]",119.0,7.0,Ended,15.289
Havada Bulut,false,70.0,"[""Dram""]",2003-02-19,2003-03-12,"[""TRT 1""]",4.0,1.0,Ended,5.908
Kurtlar Vadisi,false,90.0,"[""Aksiyon & Macera"", ""Dram"", ""Savaş & Politik"", ""Gerçeklik""]",2003-01-15,2005-12-29,"[""Show TV""]",97.0,4.0,Ended,88.706
Mühürlü Güller,false,60.0,"[""Dram""]",2003-01-09,2003-01-09,"[""TRT 1""]",41.0,1.0,Ended,10.969
Hayat Bilgisi,false,60.0,"[""Komedi"", ""Dram""]",2003-01-02,2006-06-01,"[""Kanal D"", ""Show TV""]",137.0,4.0,Ended,29.101
Ablam Böyle İstedi,false,0.0,"[""Aile"", ""Komedi""]",2003-01-01,2003-01-29,"[""TRT 1""]",5.0,1.0,Ended,1.248
Patron Kim,false,60.0,"[""Komedi"", ""Aile""]",2003-01-01,2003-07-09,"[""atv""]",28.0,1.0,Ended,3.217
Aşk Olsun,false,60.0,"[""Aile"", ""Komedi""]",2003-01-01,2003-01-01,"[""atv"", ""Kanal D""]",1.0,1.0,Ended,1.42
Gelin,false,60.0,"[""Aile"", ""Dram""]",2003-01-01,2003-01-01,"[""Kanal D""]",28.0,1.0,Ended,5.753
Çaylak,false,0.0,String[],2003-01-01,2003-01-29,"[""Show TV""]",5.0,1.0,Ended,4.796
Günahım Neydi Allahım,false,0.0,String[],2003-01-01,2003-01-01,"[""TRT 1""]",1.0,1.0,Ended,2.744
Gülbeyaz,false,0.0,"[""Aile"", ""Dram""]",2002-12-13,2003-05-16,"[""Kanal D""]",13.0,1.0,Ended,9.081
Ekmek Teknesi,false,80.0,"[""Aile"", ""Komedi"", ""Dram""]",2002-11-16,2002-11-16,"[""atv"", ""Show TV""]",106.0,3.0,Ended,17.884
İyi Aile Robotu,false,90.0,"[""Komedi"", ""Aile""]",2002-10-09,2003-01-29,"[""Kanal 7""]",17.0,1.0,Ended,6.472
Zeybek Ateşi,false,0.0,"[""Aile"", ""Dram""]",2002-10-01,2002-10-01,"[""Show TV""]",1.0,1.0,Ended,0.956
Zerda,false,0.0,String[],2002-09-26,2002-09-26,"[""atv""]",1.0,2.0,Ended,6.375
Kınalı Kar,false,60.0,"[""Dram"", ""Aile""]",2002-09-21,2004-12-25,"[""Kanal D""]",90.0,3.0,Ended,22.143
Şapkadan Babam Çıktı,false,60.0,"[""Dram""]",2002-09-16,2002-12-09,"[""TRT 1""]",13.0,1.0,Ended,3.436
Kırık Ayna,false,60.0,"[""Aile"", ""Dram""]",2002-09-16,2002-09-16,"[""Kanal D""]",1.0,1.0,Ended,1.704
Vaka-i Zaptiye,false,60.0,"[""Komedi""]",2002-09-01,2002-09-15,"[""Star TV""]",3.0,1.0,Ended,4.568
Mihrali,false,60.0,"[""Aile"", ""Dram""]",2002-08-26,2003-04-14,"[""Kanal 7""]",34.0,1.0,Ended,6.278
Yarım Elma,false,0.0,String[],2002-06-25,2004-01-06,"[""Kanal D"", ""Show TV""]",55.0,2.0,Ended,9.374
Berivan,false,60.0,"[""Aile"", ""Dram""]",2002-05-02,2002-05-16,"[""Kanal D""]",3.0,2.0,Ended,2.633
Bayanlar Baylar,false,0.0,String[],2002-03-28,2002-06-20,"[""Kanal D""]",13.0,1.0,Ended,4.694
Asmalı Konak,false,90.0,"[""Aile"", ""Dram""]",2002-03-11,2002-09-16,"[""atv""]",17.0,2.0,Ended,17.398
Koçum Benim,false,45.0,"[""Komedi"", ""Dram""]",2002-03-07,2003-04-04,"[""TRT 1""]",47.0,2.0,Ended,11.007
Çocuklar Duymasın,false,120.0,"[""Komedi"", ""Aile"", ""Çocuklar"", ""Dram""]",2002-01-16,2019-04-11,"[""Kanal D"", ""atv"", ""FOX"", ""Star TV"", ""TGRT""]",464.0,9.0,Ended,127.415
Yeter Anne,false,40.0,"[""Komedi"", ""Aile""]",2002-01-01,2002-05-21,"[""atv""]",21.0,1.0,Ended,7.081
Anne Babamla Evlensene,false,50.0,"[""Komedi"", ""Aile""]",2002-01-01,2002-05-07,"[""atv""]",19.0,1.0,Ended,5.268
Kuzenlerim,false,94.0,"[""Komedi"", ""Aile""]",2002-01-01,2002-02-19,"[""TRT 1""]",16.0,3.0,Ended,3.906
Çekirdek Aile,false,50.0,"[""Aile"", ""Komedi""]",2002-01-01,2002-04-16,"[""Kanal D""]",16.0,1.0,Ended,2.222
En Son Babalar Duyar,false,75.0,"[""Aile"", ""Komedi""]",2002-01-01,2007-12-17,"[""TRT 1"", ""Star TV""]",158.0,5.0,Ended,42.967
Efsane,false,55.0,String[],2002-01-01,2002-01-01,"[""Star TV""]",1.0,1.0,Ended,1.4
Seni Yaşatacağım,false,60.0,"[""Dram""]",2002-01-01,2002-05-21,"[""atv""]",21.0,1.0,Ended,12.846
Beşik Kertmesi,false,0.0,"[""Komedi"", ""Dram""]",2002-01-01,2002-05-07,String[],19.0,1.0,Ended,13.31
Azad,false,0.0,"[""Aile"", ""Dram""]",2002-01-01,2002-01-01,"[""Kanal D""]",1.0,1.0,Ended,0.6
Biz Size Aşık Olduk,false,45.0,"[""Komedi""]",2002-01-01,2002-01-01,String[],22.0,1.0,Ended,10.225
Canım Kocacım,false,60.0,"[""Aile"", ""Dram""]",2002-01-01,2002-01-01,"[""TRT 1""]",1.0,1.0,Ended,2.639
Tatlı Hayat,false,60.0,"[""Aile"", ""Komedi""]",2001-11-01,2005-04-14,"[""Show TV""]",106.0,3.0,Ended,134.803
Cesur Kuşku,false,60.0,"[""Komedi""]",2001-10-11,2001-11-15,"[""TRT 1""]",6.0,1.0,Ended,16.124
Aşkım Aşkım,false,0.0,"[""Aile"", ""Komedi""]",2001-10-08,2008-06-16,"[""Kanal D"", ""Kanal 1""]",51.0,2.0,Ended,8.157
İki Kere Kiki,false,0.0,String[],2001-09-08,2002-07-13,"[""Kanal D""]",45.0,1.0,Ended,10.05
Karanlıkta Koşanlar,false,45.0,"[""Suç"", ""Dram"", ""Gizem""]",2001-09-08,2001-11-10,"[""TRT 1""]",10.0,1.0,Ended,12.44
Yeditepe İstanbul,false,45.0,"[""Aile"", ""Dram""]",2001-05-18,2002-06-24,"[""TRT 1""]",47.0,2.0,Ended,16.197
Vay Anam Vay,false,0.0,"[""Komedi"", ""Aile""]",2001-02-27,2001-02-27,"[""Kanal D""]",1.0,2.0,Ended,1.774
Koltuk Sevdası,false,50.0,"[""Komedi"", ""Savaş & Politik""]",2001-02-01,2001-05-17,"[""TRT 1""]",16.0,1.0,Ended,3.172
Cinlerle Periler,false,80.0,"[""Bilim Kurgu & Fantazi"", ""Aksiyon & Macera""]",2001-01-13,2001-04-14,"[""atv""]",14.0,1.0,Ended,5.883
Dadı,false,45.0,"[""Komedi"", ""Aile""]",2001-01-05,2002-10-28,"[""Show TV"", ""Star TV""]",61.0,3.0,Ended,11.426
Aşkına Eşkıya,false,50.0,"[""Aile"", ""Dram""]",2001-01-01,2001-10-22,"[""Show TV"", ""TGRT""]",62.0,2.0,Ended,4.883
Kör Talih,false,0.0,"[""Komedi""]",2001-01-01,2001-01-01,"[""Star TV""]",1.0,1.0,Ended,1.237
Yeni Hayat,false,60.0,"[""Dram""]",2001-01-01,2001-05-07,"[""atv""]",19.0,1.0,Ended,12.936
Tutku Çemberi,false,0.0,String[],2001-01-01,2001-01-01,"[""TRT 1""]",1.0,1.0,Ended,0.676
Nasıl Evde Kaldım,false,45.0,"[""Komedi""]",2001-01-01,2001-01-01,"[""TRT 1""]",1.0,1.0,Ended,1.828
