Name,Adult,Episode_Run_Time,Genres,First_Air_Date,Last_Air_Date,Networks,Number_of_Episodes,Number_of_Seasons,Status,Popularity
Olacak O Kadar,false,60.0,"[""Komedi""]",1988-04-22,1988-04-22,"[""atv"", ""FOX"", ""Kanal D"", ""Show TV"", ""Star TV"", ""TRT 1"", ""TRT 2"", ""TGRT""]",1.0,11.0,Ended,3.6
"Kuruluş ""Osmancık""",false,60.0,"[""Savaş & Politik"", ""Aksiyon & Macera""]",1988-01-10,1988-03-27,"[""TRT 1""]",12.0,1.0,Ended,20.204
Yaprak Dökümü,false,60.0,"[""Dram""]",1988-01-01,1988-01-01,"[""TRT 1""]",7.0,1.0,Ended,12.364
Gecenin Öteki Yüzü,false,50.0,"[""Dram""]",1987-12-10,1987-12-24,"[""TRT 1""]",3.0,1.0,Ended,2.037
Uzaylı Zekiye,false,50.0,"[""Komedi"", ""Bilim Kurgu & Fantazi""]",1987-09-04,1987-09-25,"[""TRT 1""]",10.0,1.0,Ended,4.681
Kavanozdaki Adam,false,60.0,"[""Dram"", ""Bilim Kurgu & Fantazi""]",1987-09-01,1987-09-01,"[""TRT 1""]",4.0,1.0,Ended,3.811
Ateşten Günler,false,60.0,"[""Dram"", ""Savaş & Politik""]",1987-02-05,1987-02-26,"[""TRT 1""]",4.0,1.0,Ended,3.959
Belene,false,60.0,"[""Savaş & Politik"", ""Belgesel""]",1987-01-01,1987-01-01,"[""TRT 1""]",4.0,1.0,Ended,2.374
Yeniden Doğmak,false,60.0,"[""Dram"", ""Aile"", ""Savaş & Politik""]",1987-01-01,1987-01-22,"[""TRT 1""]",4.0,1.0,Ended,6.799
Perihan Abla,false,50.0,"[""Aile"", ""Komedi""]",1986-10-08,1988-03-02,"[""TRT 2""]",74.0,2.0,Ended,13.982
Çalıkuşu,false,55.0,"[""Aile"", ""Dram""]",1986-04-20,1986-06-01,"[""TRT 1""]",7.0,1.0,Ended,17.113
Kuruntu Ailesi,false,28.0,"[""Aile"", ""Komedi""]",1985-11-21,1990-12-22,"[""TRT 1""]",121.0,5.0,Ended,10.619
Bugünün Saraylısı,false,0.0,"[""Dram""]",1985-07-18,1985-08-08,"[""TRT 1""]",4.0,1.0,Ended,2.862
Geçmiş Zaman Olur Ki,false,0.0,"[""Aile""]",1985-04-22,1985-05-13,String[],4.0,1.0,Ended,1.242
